Points: 10000 | Threads: 1 | Time: 0.00066 sec | Pi: 3.1748000000
Points: 10000 | Threads: 2 | Time: 0.01008 sec | Pi: 3.1684000000
Points: 10000 | Threads: 4 | Time: 0.00595 sec | Pi: 3.1540000000
Points: 10000 | Threads: 8 | Time: 0.00334 sec | Pi: 3.1608000000
Points: 100000 | Threads: 1 | Time: 0.00722 sec | Pi: 3.1420000000
Points: 100000 | Threads: 2 | Time: 0.03924 sec | Pi: 3.1301600000
Points: 100000 | Threads: 4 | Time: 0.02753 sec | Pi: 3.1494800000
Points: 100000 | Threads: 8 | Time: 0.03429 sec | Pi: 3.1437200000
Points: 1000000 | Threads: 1 | Time: 0.03921 sec | Pi: 3.1417560000
Points: 1000000 | Threads: 2 | Time: 0.52928 sec | Pi: 3.1448080000
Points: 1000000 | Threads: 4 | Time: 0.20983 sec | Pi: 3.1418360000
Points: 1000000 | Threads: 8 | Time: 0.31383 sec | Pi: 3.1429640000
Points: 10000000 | Threads: 1 | Time: 0.35498 sec | Pi: 3.1412300000
Points: 10000000 | Threads: 2 | Time: 3.71340 sec | Pi: 3.1417184000
Points: 10000000 | Threads: 4 | Time: 2.10730 sec | Pi: 3.1410920000
Points: 10000000 | Threads: 8 | Time: 3.05329 sec | Pi: 3.1420584000
Points: 100000000 | Threads: 1 | Time: 3.49110 sec | Pi: 3.1417447200
Points: 100000000 | Threads: 2 | Time: 56.63907 sec | Pi: 3.1416202800
Points: 100000000 | Threads: 4 | Time: 23.04948 sec | Pi: 3.1420878000
Points: 100000000 | Threads: 8 | Time: 34.91360 sec | Pi: 3.1416616800
Points: 1000000000 | Threads: 1 | Time: 36.46674 sec | Pi: 3.1415557560
Points: 1000000000 | Threads: 2 | Time: 528.15728 sec | Pi: 3.1415700800
Points: 1000000000 | Threads: 4 | Time: 256.12337 sec | Pi: 3.1418813720
Points: 1000000000 | Threads: 8 | Time: 403.06025 sec | Pi: 3.1415990960
