Points: 10000 | Threads: 1 | Time: 0.00000 sec | Pi: 3.1456000000
Points: 10000 | Threads: 2 | Time: 0.00000 sec | Pi: 3.1364000000
Points: 10000 | Threads: 4 | Time: 0.00000 sec | Pi: 3.1556000000
Points: 10000 | Threads: 8 | Time: 0.00000 sec | Pi: 3.1208000000
Points: 100000 | Threads: 1 | Time: 0.00000 sec | Pi: 3.1414400000
Points: 100000 | Threads: 2 | Time: 0.00000 sec | Pi: 3.1350400000
Points: 100000 | Threads: 4 | Time: 0.00000 sec | Pi: 3.1390400000
Points: 100000 | Threads: 8 | Time: 0.00000 sec | Pi: 3.1428000000
Points: 1000000 | Threads: 1 | Time: 0.00000 sec | Pi: 3.1427480000
Points: 1000000 | Threads: 2 | Time: 0.00000 sec | Pi: 3.1420480000
Points: 1000000 | Threads: 4 | Time: 0.00000 sec | Pi: 3.1421360000
Points: 1000000 | Threads: 8 | Time: 0.00000 sec | Pi: 3.1427080000
Points: 10000000 | Threads: 1 | Time: 0.00000 sec | Pi: 3.1422188000
Points: 10000000 | Threads: 2 | Time: 0.00000 sec | Pi: 3.1424520000
Points: 10000000 | Threads: 4 | Time: 0.00000 sec | Pi: 3.1414724000
Points: 10000000 | Threads: 8 | Time: 0.00000 sec | Pi: 3.1419808000
Points: 100000000 | Threads: 1 | Time: 1.00000 sec | Pi: 3.1415172400
Points: 100000000 | Threads: 2 | Time: 0.00000 sec | Pi: 3.1415600800
Points: 100000000 | Threads: 4 | Time: 0.00000 sec | Pi: 3.1412272000
Points: 100000000 | Threads: 8 | Time: 0.00000 sec | Pi: 3.1415938400
Points: 1000000000 | Threads: 1 | Time: 9.00000 sec | Pi: 3.1415943040
Points: 1000000000 | Threads: 2 | Time: 4.00000 sec | Pi: 3.1415994400
Points: 1000000000 | Threads: 4 | Time: 2.00000 sec | Pi: 3.1416057880
Points: 1000000000 | Threads: 8 | Time: 1.00000 sec | Pi: 3.1415896040
Points: 10000000000 | Threads: 1 | Time: 96.00000 sec | Pi: 3.1415920012
Points: 10000000000 | Threads: 2 | Time: 49.00000 sec | Pi: 3.1415952100
Points: 10000000000 | Threads: 4 | Time: 26.00000 sec | Pi: 3.1415931104
Points: 10000000000 | Threads: 8 | Time: 23.00000 sec | Pi: 3.1415918900
